unidade,tema,sessao,atividade
Unit 1, Go beyond intermediate with our new video course - Onward and upward,Session 1,English Class: The third conditional
Unit 1, Go beyond intermediate with our new video course - Onward and upward,Session 2,News Review
Unit 1, Go beyond intermediate with our new video course - Onward and upward,Session 3,Lingohack
Unit 1, Go beyond intermediate with our new video course - Onward and upward,Session 4,Stop saying...!
Unit 1, Go beyond intermediate with our new video course - Onward and upward,Session 5,New drama: The White Elephant
Unit 2, Reported speech in 90 seconds! - Move the tense back,Session 1,English Class: Reported speech
Unit 2, Reported speech in 90 seconds! - Move the tense back,Session 2,News Review
Unit 2, Reported speech in 90 seconds! - Move the tense back,Session 3,Lingohack
Unit 2, Reported speech in 90 seconds! - Move the tense back,Session 4,Stop saying...
Unit 2, Reported speech in 90 seconds! - Move the tense back,Session 5,Drama: The White Elephant
Unit 3, If or whether? - Pronunciation: Changing sounds,Session 1,English Class: If and whether
Unit 3, If or whether? - Pronunciation: Changing sounds,Session 2,News Review
Unit 3, If or whether? - Pronunciation: Changing sounds,Session 3,Lingohack
Unit 3, If or whether? - Pronunciation: Changing sounds,Session 4,Would you?
Unit 3, If or whether? - Pronunciation: Changing sounds,Session 5,Drama: The White Elephant
Unit 4, 5 ways to use 'would'  - Pronunciation : sound like a native English speaker,Session 1,BBC English Class
Unit 4, 5 ways to use 'would'  - Pronunciation : sound like a native English speaker,Session 2,News Review
Unit 4, 5 ways to use 'would'  - Pronunciation : sound like a native English speaker,Session 3,Lingohack
Unit 4, 5 ways to use 'would'  - Pronunciation : sound like a native English speaker,Session 4,Stop saying...
Unit 4, 5 ways to use 'would'  - Pronunciation : sound like a native English speaker,Session 5,Drama: The White Elephant
Unit 5, Let and allow - Other ways to say 'Let's go!',Session 1,BBC English Class
Unit 5, Let and allow - Other ways to say 'Let's go!',Session 2,News Review
Unit 5, Let and allow - Other ways to say 'Let's go!',Session 3,Lingohack
Unit 5, Let and allow - Other ways to say 'Let's go!',Session 4,Stop saying...
Unit 5, Let and allow - Other ways to say 'Let's go!',Session 5,Drama: The White Elephant
Unit 6, Passive voice - Tips for learning irregular verbs,Session 1,BBC English Class
Unit 6, Passive voice - Tips for learning irregular verbs,Session 2,News Review
Unit 6, Passive voice - Tips for learning irregular verbs,Session 3,Lingohack
Unit 6, Passive voice - Tips for learning irregular verbs,Session 4,Stop saying...
Unit 6, Passive voice - Tips for learning irregular verbs,Session 5,Drama: The White Elephant
Unit 7, Unless - Tips for answering negative questions,Session 1,BBC English Class
Unit 7, Unless - Tips for answering negative questions,Session 2,News Review
Unit 7, Unless - Tips for answering negative questions,Session 3,Lingohack
Unit 7, Unless - Tips for answering negative questions,Session 4,Stop saying ...
Unit 7, Unless - Tips for answering negative questions,Session 5,Drama: The White Elephant
Unit 8, Mixed conditionals - Stop using the present perfect too much!,Session 1,BBC English Class
Unit 8, Mixed conditionals - Stop using the present perfect too much!,Session 2,News Review
Unit 8, Mixed conditionals - Stop using the present perfect too much!,Session 3,Lingohack
Unit 8, Mixed conditionals - Stop using the present perfect too much!,Session 4,Stop saying ...
Unit 8, Mixed conditionals - Stop using the present perfect too much!,Session 5,Drama: The White Elephant
Unit 9, The zero article - in 90 seconds - Sound like a bee to improve your pronunciation!,Session 1,BBC English Class
Unit 9, The zero article - in 90 seconds - Sound like a bee to improve your pronunciation!,Session 2,News Review
Unit 9, The zero article - in 90 seconds - Sound like a bee to improve your pronunciation!,Session 3,Lingohack
Unit 9, The zero article - in 90 seconds - Sound like a bee to improve your pronunciation!,Session 4,Stop saying ...
Unit 9, The zero article - in 90 seconds - Sound like a bee to improve your pronunciation!,Session 5,Drama: The White Elephant
Unit 10, The indefinite article - in 90 seconds - Learn the most common sound in English to improve your pronunciation!,Session 1,BBC English Class
