grupo,texto,link,carga_horaria,tipo
Conceitos de Orientação a Objetos,Princípios básicos da Programação Orientação a Objetos (POO),https://yanborowski.medium.com/princ%C3%ADpios-b%C3%A1sicos-da-programa%C3%A7%C3%A3o-orienta%C3%A7%C3%A3o-a-objetos-poo-62da3998b7ce,,ARTIGO
Conceitos de Orientação a Objetos,FernandaDev: O que é Programação Orientada a Objetos?(POO),https://www.youtube.com/watch?v=QJjY2TNyl-8,,YOUTUBE
Conceitos de Orientação a Objetos,Giuliana Bezerra: Desmistificando os tipos de referência - Ep. 8,https://youtu.be/D9hANYbPYCc,,YOUTUBE
Conceitos de Orientação a Objetos,Hipsters.tech: TechGuide - Orientação a Objetos – Hipsters Ponto Tech #350,https://www.hipsters.tech/techguide-orientacao-a-objetos-hipsters-ponto-tech-350/,,PODCAST
Conceitos de Orientação a Objetos,POO: o que é programação orientada a objetos?,https://www.alura.com.br/artigos/poo-programacao-orientada-a-objetos,,ARTIGO
Conceitos de Orientação a Objetos,Apostila: Java e Orientação a Objetos,https://www.alura.com.br/apostila-java-orientacao-objetos,,SITE
Conceitos de Orientação a Objetos,Livro: Orientação a Objetos,https://www.casadocodigo.com.br/products/livro-oo-conceitos,,SITE
Conceitos de Orientação a Objetos,Alura: Orientação a objetos (com Roberta Arcoverde),https://www.youtube.com/watch?v=jpuJ1qrluoU,,YOUTUBE
Conceitos de Orientação a Objetos,"Alura: Imersão Java: Orientação a Objetos, APIs e além (e live coding!)",https://www.youtube.com/watch?v=WdT90ffB-0Q,,YOUTUBE
Conceitos de Orientação a Objetos,Formação Java e Orientação a Objetos,https://cursos.alura.com.br/formacao-java,40,CURSO
Conceitos de Orientação a Objetos,Formação C# e Orientação a Objetos,https://cursos.alura.com.br/formacao-c-sharp-orientacao-objetos,32,CURSO
Conceitos de Orientação a Objetos,Formação Python e orientação a objetos,https://cursos.alura.com.br/formacao-Python-linguagem,25,CURSO
Conceitos de Orientação a Objetos,"Curso Orientação a Objetos com PHP: Classes, métodos e atributos",https://www.alura.com.br/curso-online-php-oo-classes-metodos-atributos,8,CURSO
Conceitos de Orientação a Objetos,Curso JavaScript: programação orientada a objetos,https://www.alura.com.br/curso-online-javascript-passos-programacao-orientada-objetos,8,CURSO
JSON,MDN Web Docs: JSON,https://developer.mozilla.org/pt-BR/docs/Web/JavaScript/Reference/Global_Objects/JSON,,SITE
JSON,MDN Web Docs: Trabalhando com JSON,https://developer.mozilla.org/pt-BR/docs/Learn/JavaScript/Objects/JSON,,SITE
JSON,Introdução ao JSON,https://juliocarneiro.medium.com/introdu%C3%A7%C3%A3o-ao-json-7825b1a550ff,,ARTIGO
JSON,Marco Bruno: O que é JSON e como criar um objeto,https://www.youtube.com/watch?v=oCY5YEEjlwE,,YOUTUBE
JSON,O que é JSON?,https://www.alura.com.br/artigos/o-que-e-json,,ARTIGO
JSON,Curso MySQL e JSON: persistindo JSON de maneira eficiente,https://www.alura.com.br/curso-online-mysql-json-persistencia,14,CURSO
Design Patterns,Design Patterns — O que são e quais os benefícios?,https://djesusnet.medium.com/design-patterns-gof-o-que-s%C3%A3o-e-quais-os-benef%C3%ADcios-9cd0cfdd6ebf,,ARTIGO
Design Patterns,Design Patterns,https://medium.com/xp-inc/design-patterns-727494af001d,,ARTIGO
Design Patterns,Matheus Castiglioni: O que são design patterns (padrões de projetos) e para que servem?,https://www.youtube.com/watch?v=KNWd1aWtsMw,,YOUTUBE
Design Patterns,RinaldoDev: Design Patterns - o que são? Por que aprender a utilizar?,https://www.youtube.com/watch?v=AWOf6Wo6gtg,,YOUTUBE
Design Patterns,Hipsters.tech: TechGuide - Design Patterns – Hipsters Ponto Tech #347,https://www.hipsters.tech/techguide-design-patterns-hipsters-ponto-tech-347/,,PODCAST
Design Patterns,Design patterns: Breve introdução aos padrões de projeto,https://www.alura.com.br/artigos/design-patterns-introducao-padroes-projeto,,ARTIGO
Design Patterns,Hipsters.tech: Design Patterns - Hipsters 206,https://www.alura.com.br/podcast/design-patterns-hipsters-206-a345,,PODCAST
