grupo,texto,link,carga_horaria,tipo
Git e GitHub - Fundamentos,GitHub Documentação,https://docs.github.com/pt,,SITE
Git e GitHub - Fundamentos,GitHub Pages Documentação,https://docs.github.com/pt/pages/getting-started-with-github-pages/about-github-pages,,SITE
Git e GitHub - Fundamentos,Git School - Visualizing Git,https://git-school.github.io/visualizing-git/,,SITE
Git e GitHub - Fundamentos,"Dangit, Git!?!",https://dangitgit.com/,,SITE
Git e GitHub - Fundamentos,Rafaella Ballerini: O que é Git e GitHub? - definição e conceitos importantes 1/2,https://www.youtube.com/watch?v=DqTITcMq68k,,YOUTUBE
Git e GitHub - Fundamentos,Rafaella Ballerini: Como usar Git e GitHub na prática! - desde o primeiro commit até o pull request! 2/2,https://www.youtube.com/watch?v=UBAX-13g8OM,,YOUTUBE
Git e GitHub - Fundamentos,Mario Souto - Dev Soutinho: Git: Entendendo de vez como funciona do melhor e mais visual jeito possível,https://www.youtube.com/watch?v=4-tfJ-ZyA0Q,,YOUTUBE
Git e GitHub - Fundamentos,Mario Souto - Dev Soutinho: Como colocar seu projeto no ar DE GRAÇA via GitHub! | Hospedagem com GitHub Pages,https://www.youtube.com/watch?v=BU-w2_Aae54,,YOUTUBE
Git e GitHub - Fundamentos,CodandoTV(Rods) - 5 coisas que você precisa saber sobre Git,https://youtu.be/MqoqPzjQyCY?si=VI_mT8EowuemptmU,,YOUTUBE
Git e GitHub - Fundamentos,CodandoTV(Rods) - README de Sucesso: Transforme seu Projeto ou seu Perfil em Destaque no GitHub,https://youtu.be/v9ZM2PVzctM?si=49ah_HRPIwpSEX4A,,YOUTUBE
Git e GitHub - Fundamentos,"Git e Github: O que são, Como Configurar e Primeiros Passos",https://www.alura.com.br/artigos/o-que-e-git-github,,ARTIGO
Git e GitHub - Fundamentos,Mais git com o hub: a linha de comando do Github,https://www.alura.com.br/artigos/github-na-linha-de-comando,,ARTIGO
Git e GitHub - Fundamentos,Hipsters 184: Guia do Iniciante em Github,https://cursos.alura.com.br/extra/hipsterstech/guia-do-iniciante-em-github-hipsters-184-a378,,PODCAST
Git e GitHub - Fundamentos,GitHub: diferentes maneiras de compartilhar seu projeto,https://cursos.alura.com.br/extra/alura-mais/github-diferentes-maneiras-de-compartilhar-seu-projeto-c2002,,SITE
Git e GitHub - Fundamentos,Websérie: Git e Github para Sobrevivência,https://www.alura.com.br/webseries/git-e-github-para-sobrevivencia,,SITE
Git e GitHub - Fundamentos,Hipsters 109: Git e Github,https://www.alura.com.br/podcast/hipsterstech-git-e-github-hipsters-109-a474,,PODCAST
Git e GitHub - Fundamentos,Alura: Git e Github para Sobrevivência 01: Como o Git funciona?,https://www.youtube.com/watch?v=BAmvmaKQklQ,,YOUTUBE
Git e GitHub - Fundamentos,Curso Git e GitHub: compartilhando e colaborando em projetos,https://cursos.alura.com.br/course/git-github-compartilhando-colaborando-projetos,8,CURSO
Git e GitHub - Fundamentos,Curso Git e GitHub: dominando controle de versão de código,https://cursos.alura.com.br/course/git-github-dominando-controle-versao-codigo,8,CURSO
Git e GitHub - Fundamentos,7 Days of Code: GitHub,https://7daysofcode.io/matricula/github,,DESAFIO
HTTP - Fundamentos,MDN Web Docs: Uma visão geral do HTTP,https://developer.mozilla.org/pt-BR/docs/Web/HTTP/Overview,,SITE
